,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
8,0.3340009053548177,0.004898916807982307,0.011332511901855469,0.00047120225894440053,True,,,50,0.001,12,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 50, 'min_samples_split': 0.001, 'n_estimators': 12}",0.7128837443381983,0.7100427888245658,0.7070224012081551,0.7099829781236396,0.0023932570292365617,33
24,0.42333269119262695,0.04166867058925123,0.015000263849894205,0.0029446518305703017,True,1192,,50,2,12,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 50, 'min_samples_split': 2, 'n_estimators': 12}",0.7106190236537494,0.7123080795368739,0.7057639063679839,0.709563669852869,0.0027739117205226455,34
29,2.7636645634969077,0.03351985165313235,0.05600198109944662,0.006533251343523226,True,1192,,50,0.005,100,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 50, 'min_samples_split': 0.005, 'n_estimators': 100}",0.7113739305485657,0.7110495846967028,0.7052605084319155,0.7092280078923947,0.0028085689160830757,35
7,2.720996618270874,0.020700367236114393,0.059334357579549156,0.003771019127512574,True,,,50,2,100,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 50, 'min_samples_split': 2, 'n_estimators': 100}",0.7091092098641167,0.7100427888245658,0.7072741001761893,0.7088086996216241,0.0011501127516594704,36
14,0.30433233578999835,0.005791934657112622,0.009332418441772461,0.0018861559252911582,True,,,100,0.001,12,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 0.001, 'n_estimators': 12}",0.6977856064418722,0.6964510445507174,0.6959476466146489,0.6967280992024127,0.0007754970628103309,37
50,0.3193352222442627,0.005251350610784307,0.01233347256978353,0.0012485130663237455,True,2980,,100,0.001,12,"{'bootstrap': True, 'max_depth': 2980, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 0.001, 'n_estimators': 12}",0.70231504781077,0.6894034734457589,0.6946891517744778,0.695469224343669,0.005299910254316035,38
52,0.30500006675720215,0.004898040453774403,0.012001911799112955,0.0008184832693168034,True,2980,,100,0.005,12,"{'bootstrap': True, 'max_depth': 2980, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 0.005, 'n_estimators': 12}",0.7003019627579266,0.6924238610621697,0.6914170651900328,0.6947142963367097,0.0039723982267755266,39
15,2.5283315181732178,0.023040170249215508,0.0476693312327067,0.0020549524420971684,True,,,100,0.001,100,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 0.001, 'n_estimators': 100}",0.6982888777050831,0.6941857538384093,0.6853762899572112,0.6926169738335678,0.005386992581785331,40
34,0.3236655394236247,0.008994663721963161,0.011668205261230469,0.0004725548861661144,True,1192,,100,0.005,12,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 0.005, 'n_estimators': 12}",0.7018117765475591,0.6863830858293481,0.6886483765416562,0.6922810796395211,0.006802378170781175,41
32,0.30066482226053876,0.024555863550253465,0.011333942413330078,0.0004706992648028116,True,1192,,100,0.001,12,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 0.001, 'n_estimators': 12}",0.7038248616004026,0.6881449786055878,0.6846211930531085,0.6921970110863663,0.008347033278858058,42
